[2018-11-30 02:15:19] ::1 root accessed dir ./Rack1_Usb4/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:15:35] ::1 root accessed dir ./Rack1_Usb4/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:15:37] ::1 root accessed dir ./Rack1_Usb4/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:16:13] ::1 root accessed dir ./Rack1_Usb3/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:16:33] ::1 root accessed dir ./Rack1_Usb3/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:17:08] ::1 root accessed dir ./Rack1_Usb3/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:17:51] ::1 root accessed dir ./Rack1_Usb3/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:17:59] ::1 root accessed dir ./Rack1_Usb3/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:18:11] ::1 root accessed dir ./Rack1_Usb3/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:18:18] ::1 root accessed dir ./Rack1_Usb3/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:18:22] ::1 root accessed dir ./Rack1_Usb3/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:18:32] ::1 root accessed dir ./Rack1_Usb5/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:18:38] ::1 root accessed dir ./Rack2_Usb1/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:18:55] ::1 root accessed dir ./Rack1_Usb4/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:23:58] ::1 root accessed dir ./Rack1_Usb7/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:24:01] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:24:01] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:24:03] ::1 root accessed dir ./Rack1_Usb7/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:24:04] ::1 root accessed dir ./Rack1_Usb1/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:24:14] ::1 root accessed dir ./Rack2_Usb1/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:24:18] ::1 root accessed dir ./Rack2_Usb1/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:24:18] ::1 root created dir ./Rack2_Usb1/Sciences (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 02:24:26] ::1 root accessed dir ./Rack1_Usb6/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
